file,type,inSitemap,severity,code,detail
404.html,info,False,P1,no-canonical,canonical 없음
about.html,info,True,P2,multi-h1,<h1> 4개
about.html,info,True,P2,maybe-english,ko 페이지인데 가시 영문 비중 과다
acquisition-tax.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 2개
age-calculator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 2개
ai-blog-title-generator.html,tool,True,P1,unlabeled-input,라벨 없는 입력 2개
ai-cost-calculator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 3개
ai-cover-letter-generator.html,tool,True,P1,unlabeled-input,라벨 없는 입력 7개
ai-email-generator.html,tool,True,P1,unlabeled-input,라벨 없는 입력 5개
ai-linkedin-post-generator.html,tool,True,P1,unlabeled-input,라벨 없는 입력 4개
ai-model-comparison.html,tool,True,P2,i18n-no-apply,i18n 객체 있으나 applyLang/MHI18n.init 없음
ai-product-description-generator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 5개
ai-resume-generator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 7개
ai-thumbnail-title-generator.html,tool,True,P1,unlabeled-input,라벨 없는 입력 2개
ai-token-counter.html,tool,True,P2,unlabeled-input,라벨 없는 입력 1개
ai-tweet-generator.html,tool,True,P1,unlabeled-input,라벨 없는 입력 5개
ai-youtube-title-generator.html,tool,True,P1,unlabeled-input,라벨 없는 입력 2개
alphabetizer.html,tool,True,P1,unlabeled-input,라벨 없는 입력 6개
anagram-checker.html,tool,True,P1,unlabeled-input,라벨 없는 입력 5개
annual-leave.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 3개
apache-config-generator.html,tool,True,P1,unlabeled-input,라벨 없는 입력 6개
api-response-viewer.html,tool,True,P1,unlabeled-input,라벨 없는 입력 3개
api-tester.html,tool,True,P1,unlabeled-input,라벨 없는 입력 7개
apr-calculator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 6개
ascii-converter.html,tool,True,P1,unlabeled-input,라벨 없는 입력 13개
ascii-table.html,tool,True,P2,unlabeled-input,라벨 없는 입력 1개
ascii-table.html,tool,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
avif-to-jpg.html,tool,True,P1,unlabeled-input,라벨 없는 입력 3개
barcode-generator.html,tool,True,P1,unlabeled-input,라벨 없는 입력 7개
base64-decoder.html,tool,True,P1,unlabeled-input,라벨 없는 입력 2개
base64-encoder.html,tool,True,P1,unlabeled-input,라벨 없는 입력 3개
base64-image.html,tool,True,P1,unlabeled-input,라벨 없는 입력 2개
bcrypt-generator.html,tool,True,P1,unlabeled-input,라벨 없는 입력 2개
bcrypt-validator.html,tool,True,P1,unlabeled-input,라벨 없는 입력 2개
blur-image.html,tool,True,P1,unlabeled-input,라벨 없는 입력 2개
bmi-calc.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 3개
body-fat-calculator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 8개
break-even-calculator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 4개
business-days-calculator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 6개
cagr-calculator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 3개
cagr-calculator.html,tool-calc,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
calorie-calculator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 3개
canonical-tag-checker.html,tool,True,P1,unlabeled-input,라벨 없는 입력 2개
capital-gains-tax.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 5개
case-converter.html,tool,True,P2,unlabeled-input,라벨 없는 입력 1개
character-counter.html,tool,True,P1,unlabeled-input,라벨 없는 입력 2개
chatgpt-token-counter.html,tool-calc,True,P2,unlabeled-input,라벨 없는 입력 1개
cheongyak-score.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 3개
color-blindness-simulator.html,tool,True,P2,unlabeled-input,라벨 없는 입력 1개
color-contrast-checker.html,tool,True,P1,unlabeled-input,라벨 없는 입력 4개
color-contrast-checker.html,tool,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
color-converter.html,tool,True,P1,unlabeled-input,라벨 없는 입력 5개
color-palette.html,tool,True,P1,unlabeled-input,라벨 없는 입력 2개
color-picker.html,tool,True,P1,unlabeled-input,라벨 없는 입력 8개
commission-calculator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 3개
compound-interest.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 6개
contact.html,info,True,P2,multi-h1,<h1> 4개
contact.html,info,True,P2,maybe-english,ko 페이지인데 가시 영문 비중 과다
cors-header-checker.html,tool,True,P1,unlabeled-input,라벨 없는 입력 3개
countdown-timer.html,tool,True,P1,unlabeled-input,라벨 없는 입력 2개
credit-loan-limit.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 5개
cron-generator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 2개
cron-parser.html,tool,True,P2,unlabeled-input,라벨 없는 입력 1개
cron-parser.html,tool,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
csp-generator.html,tool,True,P1,unlabeled-input,라벨 없는 입력 5개
csp-validator.html,tool,True,P2,unlabeled-input,라벨 없는 입력 1개
csp-validator.html,tool,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
csr-generator.html,tool,True,P1,unlabeled-input,라벨 없는 입력 10개
csr-generator.html,tool,True,P1,script-backtick,인라인 script 백틱 홀수(템플릿리터럴 깨짐 가능)
css-beautifier.html,tool,True,P1,unlabeled-input,라벨 없는 입력 5개
css-gradient-generator.html,tool,True,P1,unlabeled-input,라벨 없는 입력 3개
css-minifier.html,tool,True,P1,unlabeled-input,라벨 없는 입력 7개
csv-diff-checker.html,tool,True,P1,unlabeled-input,라벨 없는 입력 5개
csv-diff-checker.html,tool,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
csv-to-json.html,tool,True,P1,unlabeled-input,라벨 없는 입력 4개
csv-viewer.html,tool,True,P1,unlabeled-input,라벨 없는 입력 4개
curl-generator.html,tool,True,P1,unlabeled-input,라벨 없는 입력 13개
curl-parser.html,tool,True,P2,unlabeled-input,라벨 없는 입력 1개
curl-parser.html,tool,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
currency-converter.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 4개
date-calc.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 5개
dday.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 4개
discount-calculator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 8개
dns-lookup.html,tool,True,P1,unlabeled-input,라벨 없는 입력 2개
dsr-calc.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 11개
electricity-cost-calculator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 5개
emi-calculator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 6개
emoji-counter.html,tool,True,P2,unlabeled-input,라벨 없는 입력 1개
emoji-remover.html,tool,True,P1,unlabeled-input,라벨 없는 입력 4개
exif-remover.html,tool,True,P2,unlabeled-input,라벨 없는 입력 1개
exif-viewer.html,tool,True,P2,unlabeled-input,라벨 없는 입력 1개
favicon-generator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 2개
find-replace.html,tool,True,P1,unlabeled-input,라벨 없는 입력 6개
fire-calculator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 6개
four-insurance.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 2개
freelancer-rate-calculator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 6개
freelancer-tax.html,tool-calc,True,P2,unlabeled-input,라벨 없는 입력 1개
fuel-cost-calculator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 3개
gift-tax.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 3개
graphql-formatter.html,tool,True,P1,unlabeled-input,라벨 없는 입력 2개
graphql-query-builder.html,tool,True,P1,unlabeled-input,라벨 없는 입력 11개
gst-calculator.html,tool-calc,True,P1,unlabeled-input,라벨 없는 입력 2개
guides/acquisition-tax-temporary-2house-3year-penalty.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/ai-model-comparison-free-tier-differences-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/ai-model-comparison-free-tier-differences.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/anagram-checker-character-frequency-array-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/anagram-checker-character-frequency-array.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/annual-leave-usage-promotion-6month-10day-notice.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/apache-htaccess-vs-virtualhost-performance-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/apache-htaccess-vs-virtualhost-performance.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/api-response-viewer-large-integer-rounding-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/api-response-viewer-large-integer-rounding.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/api-tester-cors-vs-network-error-typeerror-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/api-tester-cors-vs-network-error-typeerror.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/ascii-utf8-subset-compatibility-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/ascii-utf8-subset-compatibility.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/avif-to-jpg-transparent-background-black-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/avif-to-jpg-transparent-background-black.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/base64-image-33-percent-overhead-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/base64-image-33-percent-overhead.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/bcrypt-72-byte-korean-limit-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/bcrypt-72-byte-korean-limit.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/bcrypt-validator-salt-embedded-hash-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/bcrypt-validator-salt-embedded-hash.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/before-you-quit-checklist.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/bmi-korean-vs-who-standard.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/break-even-margin-of-safety-beyond-bep.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/business-days-vs-calendar-days-contract.html,guide,True,P2,short-desc,description 8자
guides/cagr-hides-volatility-trap.html,guide,True,P2,fixed-wide,min-width:440px 고정폭(모바일 넘침 위험)
guides/canonical-tag-duplicate-google-ignores-both-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/canonical-tag-duplicate-google-ignores-both.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/capital-gains-tax-guide-2026.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/chat-export-silent-failure-role-prefix-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/chat-export-silent-failure-role-prefix.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
